"RenameID","Plant","Category","Subfolder","OldName","NewName","OldRelPath","NewRelPath","Operation","Notes"
"47","daffodil","unknown","","daffodil-planning-bulbs-01.jpg","daf-planning-bulbs-009.jpg","assets/images/projects/plant-displays/daffodil/planning/daffodil-planning-bulbs-01.jpg","assets/images/projects/plant-displays/daffodil/planning/daf-planning-bulbs-009.jpg","File Rename","Combined/Themed"
"48","daffodil","unknown","","daffodil-planning-flowers-01.jpg","daf-planning-flowers-010.jpg","assets/images/projects/plant-displays/daffodil/planning/daffodil-planning-flowers-01.jpg","assets/images/projects/plant-displays/daffodil/planning/daf-planning-flowers-010.jpg","File Rename","Combined/Themed"
"49","daffodil","unknown","","daffodil-planning-flowers-02.jpg","daf-planning-flowers-011.jpg","assets/images/projects/plant-displays/daffodil/planning/daffodil-planning-flowers-02.jpg","assets/images/projects/plant-displays/daffodil/planning/daf-planning-flowers-011.jpg","File Rename","Combined/Themed"
"50","daffodil","unknown","","daffodil-planning-flowers-03.jpg","daf-planning-flowers-012.jpg","assets/images/projects/plant-displays/daffodil/planning/daffodil-planning-flowers-03.jpg","assets/images/projects/plant-displays/daffodil/planning/daf-planning-flowers-012.jpg","File Rename","Combined/Themed"
"51","daffodil","unknown","","daffodil-planning-scenes-01.jpg","daf-planning-scenes-013.jpg","assets/images/projects/plant-displays/daffodil/planning/daffodil-planning-scenes-01.jpg","assets/images/projects/plant-displays/daffodil/planning/daf-planning-scenes-013.jpg","File Rename","Combined/Themed"
"52","daffodil","unknown","","daffodil-planning-templates-01.jpg","daf-planning-templates-014.jpg","assets/images/projects/plant-displays/daffodil/planning/daffodil-planning-templates-01.jpg","assets/images/projects/plant-displays/daffodil/planning/daf-planning-templates-014.jpg","File Rename","Combined/Themed"
"53","daffodil","unknown","","plant-displays-daffodil-planning-002.jpg","daf-unknown-015.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/plant-displays-daffodil-planning-002.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/daf-unknown-015.jpg","File Rename",""
"54","daffodil","unknown","","plant-displays-daffodil-planning-003.jpg","daf-unknown-016.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/plant-displays-daffodil-planning-003.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/daf-unknown-016.jpg","File Rename",""
"55","daffodil","unknown","","plant-displays-daffodil-planning-006.jpg","daf-unknown-017.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/plant-displays-daffodil-planning-006.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/daf-unknown-017.jpg","File Rename",""
"56","daffodil","unknown","","plant-displays-daffodil-planning-007.jpg","daf-unknown-018.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/plant-displays-daffodil-planning-007.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/daf-unknown-018.jpg","File Rename",""
"57","daffodil","unknown","","plant-displays-daffodil-planning-008.jpg","daf-unknown-019.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/plant-displays-daffodil-planning-008.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/daf-unknown-019.jpg","File Rename",""
"58","daffodil","unknown","","plant-displays-daffodil-planning-011.jpg","daf-unknown-020.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/plant-displays-daffodil-planning-011.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/daf-unknown-020.jpg","File Rename",""
"59","daffodil","unknown","","plant-displays-daffodil-planning-012.jpg","daf-unknown-021.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/plant-displays-daffodil-planning-012.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/daf-unknown-021.jpg","File Rename",""
"60","daffodil","unknown","","plant-displays-daffodil-planning-013.jpg","daf-unknown-022.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/plant-displays-daffodil-planning-013.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/daf-unknown-022.jpg","File Rename",""
"61","daffodil","unknown","","plant-displays-daffodil-planning-014.jpg","daf-unknown-023.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/plant-displays-daffodil-planning-014.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/daf-unknown-023.jpg","File Rename",""
"62","daffodil","unknown","","plant-displays-daffodil-planning-016.jpg","daf-unknown-024.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/plant-displays-daffodil-planning-016.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/daf-unknown-024.jpg","File Rename",""
"63","daffodil","unknown","","plant-displays-daffodil-planning-019.jpg","daf-unknown-025.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/plant-displays-daffodil-planning-019.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/daf-unknown-025.jpg","File Rename",""
"64","daffodil","unknown","","plant-displays-daffodil-planning-020.jpg","daf-unknown-026.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/plant-displays-daffodil-planning-020.jpg","assets/images/projects/plant-displays/daffodil/planning/flowers/daf-unknown-026.jpg","File Rename",""
